Online ISBN,Author,Book Title,Series,Category,Publisher,Product Group,Core Subjects,Cambridge Core DOI/URL
9.78E+12,Hostettmann/Marston,Saponins,Chemistry and Pharmacology of Natural Products,Professional and Individual Purchase,Cambridge University Press,Cambridge Books Online,"Science and Engineering, Medicine, Life Sciences, Medicine: General Interest, Molecular Biology, Biochemistry, and Structural Biology",https://doi.org/10.1017/CBO9780511565113
9.78E+12,Bolli/Beckmann/Saunders,Benthic Foraminiferal Biostratigraphy of the South Caribbean Region,,Monographs,Cambridge University Press,Cambridge Books Online,"Science and Engineering, Earth and Environmental Sciences, Palaeontology and Life History, Sedimentology and Stratigraphy",https://doi.org/10.1017/CBO9780511564406
9.78E+12,Warren,Bound Carbohydrates in Nature,Lezioni Lincee,Professional and Individual Purchase,Cambridge University Press,Cambridge Books Online,"Science and Engineering, Mathematics, Chemistry, Recreational Mathematics, Organic Chemistry",https://doi.org/10.1017/CBO9780511608254
9.78E+12,Gilbert/Murray,Clifford Algebras and Dirac Operators in Harmonic Analysis,Cambridge Studies in Advanced Mathematics,Professional and Individual Purchase,Cambridge University Press,Cambridge Books Online,"Science and Engineering, Mathematics, Recreational Mathematics, Abstract Analysis, Mathematical Physics",https://doi.org/10.1017/CBO9780511611582
9.78E+12,Pounds,An Historical Geography of Europe,,Monographs,Cambridge University Press,Cambridge Books Online,"Social Sciences, Humanities, History, Geography, Area Studies, European History: General Interest, Historical Geography, European Studies",https://doi.org/10.1017/CBO9780511572265
9.78E+12,Naess/Rothenberg,"Ecology, Community and Lifestyle",,Monographs,Cambridge University Press,Cambridge Books Online,"Humanities, Science and Engineering, Philosophy, Life Sciences, Philosophy of Science, Ecology and Conservation",https://doi.org/10.1017/CBO9780511525599
9.78E+12,Bell,Sex and Death in Protozoa,,Monographs,Cambridge University Press,Cambridge Books Online,"Science and Engineering, Life Sciences, Evolutionary Biology, Zoology",https://doi.org/10.1017/CBO9780511525704
9.78E+12,Knops/Lacey,Non-Classical Continuum Mechanics,London Mathematical Society Lecture Note Series,Monographs,Cambridge University Press,Cambridge Books Online,"Science and Engineering, Mathematics, Fluid Dynamics and Solid Mechanics, Recreational Mathematics",https://doi.org/10.1017/CBO9780511662911
9.78E+12,Ramsey,Statics,Cambridge Library Collection - Mathematics,Historic,Cambridge University Press,Cambridge Library Collection,"Science and Engineering, Mathematics, History of Mathematical Texts, Recreational Mathematics",https://doi.org/10.1017/CBO9780511693625
9.78E+12,Strutt,The Theory of Sound,Cambridge Library Collection - Physical  Sciences,Historic,Cambridge University Press,Cambridge Library Collection,"Science and Engineering, General Science, Engineering, Physics And Astronomy, History of Science, Engineering: General Interest, History, Philosophy and Foundations of  Physics",https://doi.org/10.1017/CBO9781139058087
9.78E+12,Bentham/Mueller,Flora Australiensis,Cambridge Library Collection - Botany and Horticulture,Historic,Cambridge University Press,Cambridge Library Collection,"Science and Engineering, Life Sciences, Botanical Reference, Plant Sciences, Natural Resource Management, Agriculture, Horticulture and forestry",https://doi.org/10.1017/CBO9781139096027
9.78E+12,Jehr,Managing Complications in Paediatric Anaesthesia,,Professional and Individual Purchase,Cambridge University Press,Cambridge Books Online,"Medicine, Pediatrics and Child Health, Anesthesia,  Intensive Care, Pain Management",https://doi.org/10.1017/9781316823064
9.78E+12,Turnheim/Kivimaa/Berkhout,Innovating Climate Governance,,Monographs,Cambridge University Press,Cambridge Books Online,"Science and Engineering, Social Sciences, Earth and Environmental Sciences, Politics and International Relations, Environmental Policy, Economics and Law, International Relations and International Organisations",https://doi.org/10.1017/9781108277679
9.78E+12,Varon/Smith,Essentials of Trauma Anesthesia,,Professional and Individual Purchase,Cambridge University Press,Cambridge Books Online,"Medicine, Emergency Medicine, Anesthesia,  Intensive Care, Pain Management",https://doi.org/10.1017/9781316874936
9.78E+12,Broughan,Equivalents of the Riemann Hypothesis,Encyclopedia of Mathematics and its Applications,Monographs,Cambridge University Press,Cambridge Books Online,"Science and Engineering, Mathematics, Abstract Analysis, Recreational Mathematics, Number Theory",https://doi.org/10.1017/9781108178228
9.78E+12,Anumba/Jivraj,Antenatal Disorders for the MRCOG and Beyond,,Coursebooks and Recommended Reading,Cambridge University Press,Cambridge Books Online,"Medicine, Obstetrics and Gynecology, Reproductive Medicine",https://doi.org/10.1017/CBO9781107585799
9.78E+12,Jain,"Mechanics, Waves and Thermodynamics",Cambridge IISc Series,Coursebooks and Recommended Reading,Cambridge University Press,Cambridge Books Online,"Science and Engineering, Physics And Astronomy, Mathematics, Engineering, Theoretical Physics and Mathematical Physics, Fluid Dynamics and Solid Mechanics, Electronic, Optoelectronic Devices, and Nanotechnology",https://doi.org/10.1017/CBO9781316535233
